arcreel-1  | 2026-04-09 16:10:09 [INFO] server.app: GET /api/v1/tasks/stats 200 10ms
arcreel-1  | 2026-04-09 16:10:09 [INFO] server.app: GET /api/v1/tasks 200 15ms
arcreel-1  | 2026-04-09 16:10:12 [INFO] server.app: GET /api/v1/tasks/stats 200 10ms
arcreel-1  | 2026-04-09 16:10:12 [INFO] server.app: GET /api/v1/tasks 200 14ms
arcreel-1  | 2026-04-09 16:10:15 [INFO] server.app: GET /api/v1/tasks/stats 200 10ms
arcreel-1  | 2026-04-09 16:10:15 [INFO] server.app: GET /api/v1/tasks 200 14ms
arcreel-1  | 2026-04-09 16:10:18 [INFO] server.app: GET /api/v1/tasks/stats 200 9ms
arcreel-1  | 2026-04-09 16:10:18 [INFO] server.app: GET /api/v1/tasks 200 12ms
arcreel-1  | 2026-04-09 16:10:21 [INFO] server.app: GET /api/v1/tasks/stats 200 11ms
arcreel-1  | 2026-04-09 16:10:21 [INFO] server.app: GET /api/v1/tasks 200 15ms
arcreel-1  | 2026-04-09 16:10:24 [INFO] server.app: GET /api/v1/tasks/stats 200 12ms
arcreel-1  | 2026-04-09 16:10:24 [INFO] server.app: GET /api/v1/tasks 200 21ms
arcreel-1  | 2026-04-09 16:10:27 [INFO] server.app: GET /api/v1/tasks/stats 200 9ms
arcreel-1  | 2026-04-09 16:10:27 [INFO] server.app: GET /api/v1/tasks 200 13ms
arcreel-1  | 2026-04-09 16:10:30 [INFO] server.app: GET /api/v1/tasks/stats 200 10ms
arcreel-1  | 2026-04-09 16:10:30 [INFO] server.app: GET /api/v1/tasks 200 14ms
arcreel-1  | 2026-04-09 16:10:33 [INFO] server.app: GET /api/v1/tasks/stats 200 23ms
arcreel-1  | 2026-04-09 16:10:33 [INFO] server.app: GET /api/v1/tasks 200 31ms
arcreel-1  | 2026-04-09 16:10:36 [INFO] server.app: GET /api/v1/tasks/stats 200 11ms
arcreel-1  | 2026-04-09 16:10:36 [INFO] server.app: GET /api/v1/tasks 200 15ms
arcreel-1  | 2026-04-09 16:10:39 [INFO] server.app: GET /api/v1/tasks/stats 200 10ms
arcreel-1  | 2026-04-09 16:10:39 [INFO] server.app: GET /api/v1/tasks 200 14ms
arcreel-1  | 2026-04-09 16:10:42 [INFO] server.app: GET /api/v1/tasks/stats 200 9ms
arcreel-1  | 2026-04-09 16:10:42 [INFO] server.app: GET /api/v1/tasks 200 13ms
